period_folder,file_name,file_path,file_size_bytes,sheet_name,max_row,max_column,status,error
2018_01,the_amount_of_deposits_and_deposit_sertificates_the_central_bank_of_the_republic_of_uzbekistan_71451_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\the_amount_of_deposits_and_deposit_sertificates_the_central_bank_of_the_republic_of_uzbekistan_71451_html_fallback.xlsx,6862,raw_table_preserved,4,7,ok,
2018_01,the_amount_of_deposits_and_deposit_sertificates_the_central_bank_of_the_republic_of_uzbekistan_71451_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\the_amount_of_deposits_and_deposit_sertificates_the_central_bank_of_the_republic_of_uzbekistan_71451_html_fallback.xlsx,6862,raw_table_flat,5,7,ok,
2018_01,the_amount_of_deposits_and_deposit_sertificates_the_central_bank_of_the_republic_of_uzbekistan_71451_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\the_amount_of_deposits_and_deposit_sertificates_the_central_bank_of_the_republic_of_uzbekistan_71451_html_fallback.xlsx,6862,metadata,8,2,ok,
2018_01,weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_individuals_the_central_bank_of_the_republic_of_uz_71456_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_individuals_the_central_bank_of_the_republic_of_uz_71456_html_fallback.xlsx,8443,raw_table_preserved,32,4,ok,
2018_01,weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_individuals_the_central_bank_of_the_republic_of_uz_71456_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_individuals_the_central_bank_of_the_republic_of_uz_71456_html_fallback.xlsx,8443,raw_table_flat,33,4,ok,
2018_01,weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_individuals_the_central_bank_of_the_republic_of_uz_71456_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_individuals_the_central_bank_of_the_republic_of_uz_71456_html_fallback.xlsx,8443,metadata,8,2,ok,
2018_01,weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_legal_entities_the_central_bank_of_the_republic_of_71457_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_legal_entities_the_central_bank_of_the_republic_of_71457_html_fallback.xlsx,8930,raw_table_preserved,34,5,ok,
2018_01,weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_legal_entities_the_central_bank_of_the_republic_of_71457_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_legal_entities_the_central_bank_of_the_republic_of_71457_html_fallback.xlsx,8930,raw_table_flat,35,5,ok,
2018_01,weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_legal_entities_the_central_bank_of_the_republic_of_71457_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\weighted_average_interest_rates_of_loans_given_by_commercial_banks_to_legal_entities_the_central_bank_of_the_republic_of_71457_html_fallback.xlsx,8930,metadata,8,2,ok,
2018_02,capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71468_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71468_html_fallback.xlsx,7149,raw_table_preserved,9,5,ok,
2018_02,capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71468_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71468_html_fallback.xlsx,7149,raw_table_flat,10,5,ok,
2018_02,capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71468_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\capital_adequacy_of_the_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71468_html_fallback.xlsx,7149,metadata,8,2,ok,
